Date,Text
Tue Dec 11 16:06:12 +0000 2012,#OCDSB Elementary Schools &amp; Extended Day Programs will be closed tomorrow (Wed. Dec. 12). Find out more @ http://t.co/HCAi5gRZ #ottschools
Mon Dec 17 10:35:07 +0000 2012,ALL school bus and small vehicle transportation for OCSB and OCDSB is cancelled today Monday Dec 17 2012.
Tue Dec 18 09:33:48 +0000 2012,"BUSES ARE RUNNING TODAY, Tuesday Dec 18.  We expect delays, however.  Please check http://t.co/JdAy6qqQ for your route delays."
Fri Dec 21 10:35:03 +0000 2012,All school bus and small vehicle transportation is cancelled today Friday Dec 21 2012 due to heavy snow and gusty winds.
Fri Dec 21 15:05:30 +0000 2012,"Please note our office will be shut down from Dec. 24, 2012 for the Christmas holidays and will reopen on Jan. 7, 2013."
Mon Jan 07 14:20:59 +0000 2013,Happy New Year and Welcome Back students! Our office re-opened today until 5pm.
Fri Jan 11 01:37:06 +0000 2013,OCDSB elementary schools will be closed Friday Jan 11 2013.  All transportation for OCDSB elementary school students is CANCELLED.
Fri Jan 11 01:37:58 +0000 2013,"Transportation for OCDSB secondary students and all OCSB students will continue as planned, although some delays may occur."
Mon Jan 28 19:47:39 +0000 2013,Information about inclement weather (school bus cancellations) can be found on our website at http://t.co/JdAy6qqQ after 6:15AM the day of.
Mon Jan 28 19:54:52 +0000 2013,OSTA will also tweet any inclement weather information - PLEASE NOTE: any school bus cancellations apply to the WHOLE day
Tue Jan 29 09:38:16 +0000 2013,Buses ARE RUNNING today.  Good luck on your exams!
Wed Jan 30 09:31:13 +0000 2013,"Due to road conditions, we anticipate delays on many morning routes this morning.  Check http://t.co/JdAy6qqQ for delays on your bus route."
Fri Feb 08 09:44:24 +0000 2013,"All bus and small vehicle transportation is cancelled today Friday Feb 8.  If you take your childen to school, plz remember to pick them up."
Mon Feb 11 09:35:50 +0000 2013,"Buses are running today, but there may be some delays.  Check http://t.co/JdAy6qqQ for delays on your bus route."
Wed Feb 27 19:05:51 +0000 2013,"Due to poor road conditions, expect delays for ALL school buses this afternoon"
Thu Feb 28 09:04:42 +0000 2013,"School buses are running today, but we expect some delays due to poor road conditions.  Check http://t.co/61ITNIPhgI for your bus route."
Thu Feb 28 20:51:01 +0000 2013,Check ottawaschoolbus.ca for a message from the GM regarding bus delays and cancellation of services.
Thu Feb 28 21:12:25 +0000 2013,OSTA appreciates comments that are constructive and use appropriate language.  We will block anyone who does not follow this rule.
Mon Mar 04 17:03:11 +0000 2013,@lovebritishguys: we apologize for the delay - there was a breakdown this morning for H60; please refer to our website for bus delays
Tue Mar 19 08:51:49 +0000 2013,Busses are running but we expect delays. Check http://t.co/61ITNIPhgI for your bus delays.  Have a good day at school.
Mon Apr 08 15:21:42 +0000 2013,"@NoliesPlace : please contact us directly at 613-224-8800 to further discuss this situation.
Thank you."
Fri Apr 12 10:00:38 +0000 2013,"All student transportation is cancelled today due to expected ice/snow and high winds today.  Schools remain open, however."
Fri Apr 12 14:31:04 +0000 2013,"Our apologies for the delay in posting the school bus cancellation We had trouble loading the website, which has been rectified."
Fri Apr 12 14:31:16 +0000 2013,Thank you for your patience during that time.
Thu Aug 15 16:26:28 +0000 2013,"The stop locator tool on our website was disabled during the summer; it will be up and running again on Monday, August 19th."
Thu Aug 15 16:31:58 +0000 2013,"@SLPSKanata: the stop finder tool will be available to parents/guardians/schools on Monday, August 19, 2013."
Thu Aug 15 16:33:58 +0000 2013,Have you registered your child for our School Bus Safety Awareness program? It's not too late. For more information: http://t.co/AArpczTSrM
Mon Aug 19 13:16:38 +0000 2013,School Bus Route Schedules are now available on the OSTA website. We have also reactivated the Stop Finder for access to information too.
Mon Aug 19 13:20:00 +0000 2013,@PamelaColquhoun: we are in the process of fixing this issue. Please check again later today. Thank you for your patience
Mon Aug 19 17:59:17 +0000 2013,@jenniferbritton: that is the correct number. Please try again. Thank you for your patience.
Mon Aug 19 18:00:50 +0000 2013,@DivaHelen: we are aware of this glitch and are working to fix it now. Please check again later. Thank you for your patience.
Thu Aug 22 16:08:34 +0000 2013,@gmacreations: you can contact our offices directly
Thu Aug 22 16:15:08 +0000 2013,"School Bus Safety Awareness Day is fast approaching - THIS SUNDAY, August 25, 2013 from 9am-1pm. Visit: http://t.co/AArpczTSrM for more info"
Thu Aug 22 20:09:45 +0000 2013,@cated0114: the site is at Sir Wilfred Laurier SS.
Thu Aug 22 20:45:14 +0000 2013,@cated0114:That is correct. We plan for an approximate number so there are enough supplies. It will be a fun day for you &amp; your child. Enjoy
Mon Aug 26 13:38:28 +0000 2013,Thank you to all the parents/guardians/students for another successful Safety Awareness Day! Hope everyone had a fun day! OSTA staff did!
Mon Aug 26 13:39:05 +0000 2013,Very educational time @Safety Awareness Day. Kieran is (hopefully) set to ride a school bus. Thanks @OttSchoolBus #kindergarten #ott @OCDSB
Tue Sep 03 14:01:36 +0000 2013,Welcome Back for the 2013/2014 school year! We appreciate your patience as we ensure your children are arriving at school safely.
Tue Oct 22 16:18:08 +0000 2013,"@thebustopswhere @OCDSB @ottawasuncom: If you have concerns, please call our offices and any one of our staff will assist you directly."
Tue Oct 22 16:19:39 +0000 2013,@thebustopswhere @OCDSB @ottawasuncom: please refer to our policy G9; we will not use this avenue as a platform to discuss confidential info
Fri Nov 01 19:10:54 +0000 2013,"A strike at OSTA is not imminent. It's ""business as usual"" while the bargaining process continues. Check our website and Twitter for news."
Mon Nov 25 14:25:09 +0000 2013,It's starting to get cold outside. Please be sure that your child is properly dressed for the weather while waiting for the school bus.
Mon Nov 25 14:32:22 +0000 2013,Information on school bus cancellations due to inclement weather can be found our website at http://t.co/8gple1t6f8 and Twitter.
Wed Nov 27 10:34:42 +0000 2013,Due to inclement weather all school bus &amp; small vehicle transportation services are cancelled for the entire day today. Schools remain open.
Wed Dec 04 14:47:59 +0000 2013,"For schools interested in the Student Active Transportation Initiative, check out our website at http://t.co/VTS3JmR4wQ for more info."
Mon Jan 06 14:32:41 +0000 2014,ALL school buses for the OCSB &amp; OCDSB are cancelled due to inclement weather. Please note that schools are still open.#ottschool
Mon Feb 03 15:11:05 +0000 2014,OSTA is getting ready for a transformation. We have developed a plan starting in the 2014-2015 school year. For more: http://t.co/PjdljcN7IM
Fri Feb 07 16:37:57 +0000 2014,"Check out the latest story from @metroottawa regarding the upcoming bell time changes for #ottschools
http://t.co/D99bh02n1g"
Fri Feb 07 16:58:27 +0000 2014,@miloo30 @metroottawa: OSTA will be holding Public Consultation from April to June. Updates &amp; more information will be posted on our website
Tue Feb 11 15:13:37 +0000 2014,@CBCOttawa highlights OSTA's upcoming Public Consultation for bell time changes for #ottschool.  Read here: http://t.co/W2OHDrcxrt
Fri Feb 14 11:21:06 +0000 2014,"Transportation is in service today, but there may be delays due to weather / road conditions."
Fri Feb 21 10:28:23 +0000 2014,All yellow school bus and taxi services are cancelled today.  Schools remain open.
Mon Mar 17 16:50:35 +0000 2014,"OSTA will be conducting Public Consultation for bell time changes and walk zone maps. For more information, go to: http://t.co/bC2B5O3Ky8"
Thu Mar 27 10:53:21 +0000 2014,"Due to a fire on Bantree Rd, FirstStudent buses operating out of that location may be delayed."
Tue May 06 20:29:19 +0000 2014,Have you attended an @OttSchoolBus consultation? Learn about proposed changes &amp; submit feedback @ http://t.co/SWxiwAYFMw #ottschools
Tue Jun 17 16:34:24 +0000 2014,"OSTA's School Bus Safety Awareness Day is on Sunday, August 24, 2014. Click here http://t.co/xn1U378Q8A for more info http://t.co/Uhp52MublN"
Thu Jun 19 16:09:42 +0000 2014,"OSTA's last Public Consultation Session for bell times and walk zone changes is Saturday, June 21, 2014.More info: http://t.co/orjALD7edI"
Thu Jun 19 16:11:19 +0000 2014,"Changes will come into effect for the 2015-2016 school year. Parents can provide feedback via email or survey online until July 15, 2014"
Tue Aug 19 15:41:10 +0000 2014,"The OSTA Stop Finder is now up and running. To find your child's school bus information, please click on the link: https://t.co/ArNV7H7RSL"
Tue Aug 19 15:45:45 +0000 2014,School Bus Route Schedules are also available on our website at: http://t.co/EtSVRelqCo.
Wed Aug 20 13:31:37 +0000 2014,"To view the school bus routes, please visit our website at http://t.co/61ITNIPPDi, under the 'School Bus Routes' menu."
Mon Aug 25 14:45:24 +0000 2014,OSTA had another successful School Bus Awareness day on Sunday! Thank you to all the volunteers and parents for participating in this event.
Mon Aug 25 14:46:04 +0000 2014,The OSTA Stop Finder tool is currently experiencing some technical difficulties. Our IT department is working on repairing the issue.
Mon Aug 25 14:46:13 +0000 2014,We appreciate your patience during this time. Please check back throughout the day for your child(ren)s transportation information.
Mon Aug 25 14:51:47 +0000 2014,"@gmacreations: You can call our office at 613-224-8800. Our staff would be happy to assist you, if you require information immediately."
Mon Aug 25 16:21:55 +0000 2014,The OSTA Stop Finder issue has been resolved. School transportation information can be found on this link: http://t.co/scpJzBGVLZ
Mon Sep 29 13:27:39 +0000 2014,Daily Walking School Bus starts today at 8 Ottawa schools. Is yours one of them? Find out more &amp; register your child http://t.co/J1DDjs2k6C:
Mon Sep 29 13:32:56 +0000 2014,Fun and safe way to start the day &amp; get to school w/ the #WalkingSchoolBus @Go_Taylor @OCDSB #ottawa #Ottcity http://t.co/vizH1RtaS2
Wed Oct 15 13:48:07 +0000 2014,New active &amp; safe routes to school for #Ottawa children: http://t.co/cIQmPcsffs #ottnews @walk2schoolyow @OttSchoolBus @SafetyOttawa
Wed Oct 15 14:11:20 +0000 2014,Ottawa Walking School Bus pilot is up &amp; walking. Spaces r still available:  http://t.co/aoNXWUYqnF. @ottawahealth @OCDSB @OttCatholicSB
Wed Oct 22 15:12:36 +0000 2014,"Due to shots fired Parliament Hill - Schools in secure mode: Elgin PS, Lisgar HS, York, Centennial, Glashan, Lady Evelyn, 1st Ave"
Wed Oct 22 15:12:39 +0000 2014,"Additional Schools in secure mode due to shots fired on Parliament Hill: Mutchmor, Glebe, Rockcliffe Park #ocdsb #ottschools"
Wed Oct 22 15:12:44 +0000 2014,Due to shots fired on Parliament Hill 440 Albert also in secure mode #ocdsb #ottschools
Wed Oct 22 15:12:48 +0000 2014,"Additional schools in secure mode due to shots fired on Parliament Hill: Richard Pfaff, Adult, Cambridge #ocdsb #ottschools"
Wed Oct 22 15:12:54 +0000 2014,All #OCDSB downtown schools in Secure Mode - Doors locked students remain in classrooms  #ottschools #ottPublicSB
Wed Oct 22 15:13:10 +0000 2014,"UPDATE: At the advice of @OttawaPolice all #OCDSB schools have been placed in ""secure schools"" - Doors locked - students in classrooms"
Wed Oct 22 15:13:25 +0000 2014,"At the advice of @OttawaPolice all #OCSB schools in the perimeter have been placed in ""secure schools"""
Wed Oct 22 15:22:54 +0000 2014,Parents: Do not go to schools to pick up students - all schools in secure mode or shelter in place - Doors locked
Wed Oct 22 15:26:45 +0000 2014,OSTA will continue to update parents with the latest information during this trying time. Your patience is appreciated.
Wed Oct 22 15:27:41 +0000 2014,We've just been updated by @OttawaPolice and all #OCSB schools EXCEPT for Immaculata Family of schools is being released from lockdown
Wed Oct 22 15:30:15 +0000 2014,"@OttCatholicSB - Immaculata family of schools include: Immaculata CHS, Assumption CES, Corpus Christi CES, St. Brigid CES, St. Michael CES"
Wed Oct 22 15:31:13 +0000 2014,"Parents: Immaculata family of schools include: Immaculata CHS, Assumption CES, Corpus Christi CES, St. Brigid CES, St. Michael CES"
Wed Oct 22 15:49:49 +0000 2014,"Update: St. George School is also still in ""secure schools"" mode"
Wed Oct 22 15:50:05 +0000 2014,"PARENTS: Do not go to pick up your child from Immaculata family of schools or St. George, as school in ""secure schools"" mode"
Wed Oct 22 17:57:01 +0000 2014,"UPDATE: Lisgar HS, York PS, Elgin PS Richard Pfaff, 440 Albert remain in secure mode due to proximity to downtown core #ocdsb #ottschools"
Wed Oct 22 17:57:05 +0000 2014,Buses will run on regular schedule but expect delays. Extended Day Programs will operate as usual.
Wed Oct 22 17:57:17 +0000 2014,Parents: Staff will remain at schools until all children have been picked up or are on bus #ocdsb #ottschools
Wed Oct 22 17:57:17 +0000 2014,"Parents of kids at Elgin PS, Richard Pfaff, York St, Lisgar HS, 440 Albert - you will be contacted with further info by your schools"
Wed Oct 22 17:57:24 +0000 2014,"Parents may pick up their children at school except for those in downtown core - Elgin, Richard Pfaff, York St, Lisgar, 440 Albert #ocdsb"
Wed Oct 22 17:58:16 +0000 2014,UPDATE: at advice of @OttawaPolice all OCSB schools will be dismissed at regular dismissal time. Busses running.
Wed Oct 22 18:05:11 +0000 2014,"Busses are running on regular schedule but if alternate arrangements need to be made,  parents should contact the school"
Wed Oct 22 18:14:17 +0000 2014,Parents do not have to pick up their children...only if they want to...buses are being dispatched as per usual for end of day #ocdsb
Wed Oct 22 18:20:01 +0000 2014,"UPDATE:Elgin PS, RIchard Pfaff, 440 Albert no longer in secure school as per advice of @ottawaPolice #ocdsb #ottschools - Normal Dismal"
Wed Oct 22 18:23:16 +0000 2014,@ameliawalkeer buses are running as usual at the end of the day.
Wed Oct 22 18:23:43 +0000 2014,@ErinLittle4 : buses are running as usual at the end of the day.
Wed Oct 22 18:25:11 +0000 2014,@Malak_RF buses are running as usual at the end of the day.
Wed Oct 22 18:48:42 +0000 2014,"Parents - if you are impacted by lockdown &amp; worried about being late to pick up your child, please call your school. @OttCatholicSB"
Wed Oct 22 18:48:48 +0000 2014,"Two @OCDSB schools remain in ""secure school"" situation: Lisgar Collegiate and York Street. @ctvottawa"
Wed Oct 22 20:58:24 +0000 2014,"Parents - if you are impacted by lockdown &amp; worried about being late to pick up your child, please call your school #ocdsb #ottschools"
Wed Oct 22 21:01:31 +0000 2014,"Due to the nature of today's situation, delays in transportation services are expected. Please contact OSTA directly or your school for info"
Thu Oct 23 15:38:30 +0000 2014,OSTA wants to send out a huge THANK YOU for all the help and hard work of the bus companies and drivers yesterday afternoon.
Thu Oct 23 15:41:14 +0000 2014,Staff went above and beyond in helping OSTA make sure that all the students arrived home safely despite the difficult circumstances.
Tue Nov 11 19:52:20 +0000 2014,Lest We Forget
Mon Nov 17 14:54:55 +0000 2014,"Transportation is in service today, but there may be delays due to inclement weather / road conditions."
Mon Nov 24 15:45:38 +0000 2014,OSTA is promoting the Walking School Bus Pilot project at the Ottawa 67's School Game Day at the CTC.  #GetYourWalkOn http://t.co/kWhgMAhdXw
Mon Nov 24 15:48:24 +0000 2014,@Ottawa67sHockey
Tue Dec 09 21:48:41 +0000 2014,"Follow us to find out about cancellations and/or delays of school bus, small vehicles and walking school bus."
Thu Dec 11 11:50:11 +0000 2014,"Transportation is in service today, Dec 11/14, but there may be delays due to road conditions. Check ottawaschoolbus.ca for bus delays."
Thu Dec 11 14:11:47 +0000 2014,Information on Inclement Weather/Transportation Cancellations can be found http://t.co/KNtr0yUDVI.
Thu Dec 11 14:23:28 +0000 2014,Please note ANY and ALL defamatory/derogatory tweets to this account will be reported and blocked. This kind of language is unacceptable.
Thu Dec 11 14:37:13 +0000 2014,@OttSchoolBus makes busing decisions. Cancellations posted by 6:30. Parents may choose to keep students home. Delays http://t.co/qgo8MqgeqO
Thu Dec 11 17:05:09 +0000 2014,"@heatherfpark: Yes. We can do that. We make the decision at 6:30AM, our first tweet today was at 6:50AM"
Thu Dec 11 21:12:39 +0000 2014,Schoolbus operators ban 'crude' students tweeting complaints about no snow day. http://t.co/Iv5JaohsYX #ottnews
Fri Dec 12 12:17:43 +0000 2014,"Transportation is in service today, Dec. 12/14, but there may be delays due to weather/road conditions."
Fri Dec 12 12:17:51 +0000 2014,Check ottawaschoolbus.ca for bus delays.
Wed Dec 17 10:33:02 +0000 2014,"Due to inclement weather ALL yellow school bus &amp; small vehicle transportation services are cancelled today, Dec. 17/14. Schools remain open."
Wed Dec 17 10:59:24 +0000 2014,"Walking School Bus is also cancelled today, Wednesday December 17, 2014."
Wed Jan 07 12:04:57 +0000 2015,"The ""walking"" School Bus only is cancelled today.  All school buses and small vehicles are running."
Wed Jan 07 14:36:20 +0000 2015,Skin can freeze in just 10 minutes when the wind chill is -28 or colder. Parents: make sure kids are well dressed. #ottschools
Wed Jan 07 14:36:46 +0000 2015,FROSTBITE WARNING in #Ottawa today. Remember to cover up &amp; protect from the cold: http://t.co/cBN0ZqG6OR #ottnews #ottweather
Thu Jan 08 11:15:15 +0000 2015,"Due to the extreme cold, ""Walking"" school bus only is cancelled today. @OCDSB @OttCatholicSB"
Thu Jan 08 17:29:25 +0000 2015,"We've had a lot of followers ask, ""What's a Walking School Bus?"". Click our link for info: http://t.co/I9WgcThmon
@OCDSB @OttCatholicSB"
Fri Jan 30 10:45:40 +0000 2015,"School buses are running today, but we expect delays due to weather/road conditions. Check ottawaschoolbus.ca for bus route delays"
Fri Jan 30 10:45:58 +0000 2015,@OCDSB @OttCatholicSB
Mon Feb 02 10:36:15 +0000 2015,"School buses are running today, but we expect delays due to weather/road conditions. Check ottawaschoolbus.ca for bus route delays"
Wed Feb 11 22:09:38 +0000 2015,"After a 2 yr process, OSTA finalized changes in bell times &amp; walk zone maps for all @OCDSB &amp; @OttCatholicSB schools. http://t.co/nwwclUFic8"
Wed Feb 11 22:53:27 +0000 2015,"@wheeler_laura @OCDSB @OttCatholicSB 
For bell time: http://t.co/fa7FfHxXsV
For walk zone maps: http://t.co/yBbXRVlkFm"
Thu Feb 12 10:45:15 +0000 2015,Transportation is in service today but there may be delays due to weather/road conditions. Check ottawaschoolbus.ca for bus route delays.
Thu Feb 12 10:45:55 +0000 2015,@OCDSB @OttCatholicSB
Thu Feb 12 14:10:53 +0000 2015,@NVquite @OCDSB @OttCatholicSB: we are standardizing bell times to maximum route efficiency. Some schools changed to earlier other later.
Thu Feb 12 16:52:29 +0000 2015,"As per OSTA P&amp;P, students are ELIGIBLE for transport IF:
KG - over 800m, 
Gr. 1-8 - over 1.6km
Gr, 9-12 - over 3.2km
@OCDSB @OttCatholicSB"
Thu Feb 12 16:59:09 +0000 2015,"If you are unsure of your child's eligibility for transportation, please contact OSTA directly and our staff will be happy to help you."
Thu Feb 19 14:43:17 +0000 2015,We would like your feedback on a proposed Variable Transportation P&amp;P! Info can be found at http://t.co/nwwclUFic8. @OCDSB @OttCatholicSB
Wed Mar 04 14:25:27 +0000 2015,@LuckkyZ4 @OCDSB @OttCatholicSB plz contact our office directly. Thanks
Fri Mar 20 14:56:15 +0000 2015,The WSB will be a regular program in the 2015-2016 school yr.  Check our website for more info. @OttCatholicSB @OCDSB @walk2schoolyow
Fri Mar 20 15:03:02 +0000 2015,See our Walking School Bus in action! Watch our new video here: http://t.co/jxudNVr2ja @OttCatholicSB @OCDSB @walk2schoolyow
Wed Apr 01 13:40:04 +0000 2015,OSTA's 1st ever Driver Appreciation Day is on Sat. Apr.11!!! We're looking forward to recognizing the individuals who keep our students safe
Wed Apr 01 13:45:01 +0000 2015,More info on our website http://t.co/nwwclUFic8. Also add 'OSTA Driver Appreciation' group on FB. @OttCatholicSB @OCDSB
Wed Apr 01 13:45:31 +0000 2015,The @TrilliumES Community appreciates our bus and van drivers. Huge thank you! @OCDSB @OttSchoolBus http://t.co/OtEOn9kF61
Wed Apr 01 13:45:36 +0000 2015,We're making cards of appreciation for our bus drivers @stgregory45 @OttSchoolBus http://t.co/8K81bd3z50
Thu Apr 02 14:59:22 +0000 2015,"April 11, 2015 is Bus Driver Appreciation Day! Make sure to acknowledge our hard working Drivers! @OttSchoolBus http://t.co/MHIN5rrrHW"
Tue Apr 07 13:37:59 +0000 2015,Many cards of appreciation for our bus drivers! We are so thankful to them for always keeping us safe! @OttSchoolBus http://t.co/HpjAxBwmpg
Tue Apr 07 13:42:51 +0000 2015,Driver Appreciation Day is on Saturday! We're busy getting ready for the event! All the 'Thank You' cards are great! @OttCatholicSB @OCDSB
Tue Apr 07 13:50:10 +0000 2015,@KarenMcNaught @OttCatholicSB @OCDSB you can give the card to the school and they will forward it to us to give to Sandy.
Sat Apr 11 14:36:28 +0000 2015,It's Driver Appreciation Day!  We have a great turnout with many surprises ahead. @OttCatholicSB @OCDSB http://t.co/tBqwl0PbVB
Mon Apr 13 20:51:53 +0000 2015,@OttSchoolBus big thanks to our wonderful drivers who bring precious cargo safely to school &amp; home everyday!! ?? http://t.co/DJTSILSQ9o
Mon Apr 13 20:54:47 +0000 2015,In recognition of 35 years of Safe Student Transportation. Great article about Mr. Robert Anderson. https://t.co/9bfqkqjhru
Thu Apr 16 18:59:24 +0000 2015,BLOG: @OttSchoolBus hosts first ever Driver Appreciation Day! #OCSB #GoodNews http://t.co/00HOm4pNAQ
Wed May 27 15:55:26 +0000 2015,Several Ottawa drivers are caught not obeying the stop sign attached to the school bus. Watch @CBCOttawa video: https://t.co/njfzpPl7HV
Wed Jun 03 15:38:58 +0000 2015,Register for the WSB in Sept 2015. Find out if ur school has a walking school bus.Sign up now! http://t.co/t4jj1cX5zw @OttCatholicSB @OCDSB
Thu Jun 18 19:59:18 +0000 2015,"Safety Awareness Day for 1st time riders is on Sunday, August 30, 2015. Info on OSTA website: http://t.co/R6k50ikneM @OCDSB @OttCatholicSB"
Tue Jun 30 13:31:40 +0000 2015,A little something to thank our bus drivers for their great driving each day.@OttSchoolBus http://t.co/TOPNVFWCOl
Tue Jun 30 13:33:21 +0000 2015,@CrystalPruys: please contact OSTA directly. We require more information in order to help answer your question. Thx
Tue Aug 04 14:59:43 +0000 2015,"@nick_morabito: Transportation info will be available on our website on August 24, 2015, using the Stop Finder."
Tue Aug 04 15:01:20 +0000 2015,"OSTA's First Time Rider Program (Safety Awareness Day) is on Sun. Aug. 30, 2015. Register Now!! http://t.co/R6k50ikneM"
